"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Feb 28 03:17:14 EET 2022","Mon Feb 28 03:17:28 EET 2022","13705","TestSuite","DemoTest","automationbootcampproject.com.makemytrip.pages.HotelTest","automationbootcampproject.com.makemytrip.pages.HotelTest","SearchWithDataProvider","SearchWithDataProvider",""
"passed","Mon Feb 28 03:17:02 EET 2022","Mon Feb 28 03:17:14 EET 2022","11584","TestSuite","DemoTest","automationbootcampproject.com.makemytrip.pages.SearchTest","automationbootcampproject.com.makemytrip.pages.SearchTest","SearchWithDataProvider","SearchWithDataProvider",""
